ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
47137;F;32;163;63;CAN;2010;Ice Hockey;Gold
47137;F;36;163;63;CAN;2014;Ice Hockey;Gold
47140;M;24;183;110;SUI;2002;Bobsleigh;Bronze
47140;M;28;183;110;SUI;2006;Bobsleigh;Bronze
47140;M;28;183;110;SUI;2006;Bobsleigh;Bronze
47140;M;36;183;110;SUI;2014;Bobsleigh;Silver
47165;F;21;160;51;CAN;1960;Alpine Skiing;Gold
47191;F;20;157;48;USA;1980;Speed Skating;Bronze
47192;M;21;185;84;USA;1980;Speed Skating;Gold
47192;M;21;185;84;USA;1980;Speed Skating;Gold
47192;M;21;185;84;USA;1980;Speed Skating;Gold
47192;M;21;185;84;USA;1980;Speed Skating;Gold
47192;M;21;185;84;USA;1980;Speed Skating;Gold
47229;F;22;162;56.5;CAN;2006;Freestyle Skiing;Gold
47229;F;26;162;56.5;CAN;2010;Freestyle Skiing;Silver
47351;M;21;183;87;CZE;1998;Ice Hockey;Gold
47351;M;29;183;87;CZE;2006;Ice Hockey;Bronze
47355;M;23;175;71;TCH;1968;Ice Hockey;Silver
47410;F;23;170;68;FIN;2010;Ice Hockey;Bronze
47457;M;24;183;75;SWE;2010;Cross Country Skiing;Gold
47457;M;24;183;75;SWE;2010;Cross Country Skiing;Gold
47457;M;28;183;75;SWE;2014;Cross Country Skiing;Silver
47457;M;28;183;75;SWE;2014;Cross Country Skiing;Gold
47486;M;23;183;90;FIN;1988;Ice Hockey;Silver
47486;M;29;183;90;FIN;1994;Ice Hockey;Bronze
47486;M;33;183;90;FIN;1998;Ice Hockey;Bronze
47528;M;27;163;60;SUI;1976;Alpine Skiing;Gold
47545;M;22;183;84;CZE;2006;Ice Hockey;Bronze
47618;F;15;155;45;NOR;1928;Figure Skating;Gold
47618;F;19;155;45;NOR;1932;Figure Skating;Gold
47618;F;23;155;45;NOR;1936;Figure Skating;Gold
47627;F;24;159;49;GER;2002;Biathlon;Gold
47627;F;24;159;49;GER;2002;Biathlon;Gold
47627;F;28;159;49;GER;2006;Biathlon;Silver
47627;F;32;159;49;GER;2010;Biathlon;Bronze
47629;F;27;168;56;GER;2002;Cross Country Skiing;Gold
47645;F;19;168;51;GER;1960;Alpine Skiing;Bronze
47667;F;16;170;66;USA;1972;Speed Skating;Gold
47667;F;16;170;66;USA;1972;Speed Skating;Bronze
47786;M;31;178;85;FIN;2006;Ice Hockey;Silver
47852;M;27;182;84;AUT;2006;Alpine Skiing;Silver
48175;F;25;175;61;GER;2014;Cross Country Skiing;Bronze
48187;M;29;182;75;ITA;1994;Short Track Speed Skating;Gold
48194;F;26;180;71;GER;2002;Bobsleigh;Bronze
48253;F;17;163;53;SUI;1980;Alpine Skiing;Bronze
48268;F;23;160;55;GDR;1976;Cross Country Skiing;Bronze
48268;F;27;160;55;GDR;1980;Cross Country Skiing;Gold
48270;M;22;177;78;SWE;1984;Ice Hockey;Bronze
48293;M;28;186;79;NOR;2002;Cross Country Skiing;Gold
48293;M;32;186;79;NOR;2006;Cross Country Skiing;Silver
48298;M;23;179;64;GER;2002;Nordic Combined;Silver
48298;M;27;179;64;GER;2006;Nordic Combined;Silver
48298;M;27;179;64;GER;2006;Nordic Combined;Gold
48298;M;27;179;64;GER;2006;Nordic Combined;Bronze
48299;M;22;178;77;FRG;1976;Nordic Combined;Silver
48315;M;20;168;72;USA;1964;Alpine Skiing;Bronze
48343;F;27;165;53;CAN;2014;Short Track Speed Skating;Silver
48375;F;27;163;56;FRA;1994;Biathlon;Bronze
48446;M;26;185;91;GER;1994;Bobsleigh;Bronze
48464;F;21;162;53;FIN;1952;Cross Country Skiing;Silver
48464;F;25;162;53;FIN;1956;Cross Country Skiing;Gold
48466;M;28;180;85;FIN;2014;Ice Hockey;Bronze
48510;F;22;162;60;FIN;2010;Ice Hockey;Bronze
48528;M;22;179;60;NOR;2010;Ski Jumping;Bronze
48538;M;19;178;79;ITA;1972;Luge;Gold
48538;M;27;178;79;ITA;1980;Luge;Silver
48538;M;31;178;79;ITA;1984;Luge;Gold
48695;M;32;183;95;USA;2002;Bobsleigh;Silver
48726;M;21;170;75;FRG;1976;Ice Hockey;Bronze
48761;M;15;160;50;JPN;2014;Snowboarding;Silver
48769;M;18;171;63;JPN;2014;Snowboarding;Bronze
48808;M;21;178;73;CAN;1994;Ice Hockey;Silver
48817;M;24;173;73;AUT;2014;Alpine Skiing;Silver
48871;M;20;186;80;SWE;1984;Ice Hockey;Bronze
48871;M;24;186;80;SWE;1988;Ice Hockey;Bronze
48872;M;26;191;94;SWE;2014;Ice Hockey;Silver
48877;M;30;180;69;NOR;2002;Cross Country Skiing;Bronze
48877;M;38;180;69;NOR;2010;Cross Country Skiing;Silver
48911;M;22;185;98;TCH;1972;Ice Hockey;Bronze
48911;M;26;185;98;TCH;1976;Ice Hockey;Silver
48921;M;24;180;89;CAN;1994;Ice Hockey;Silver
48931;M;32;185;84;CZE;2006;Ice Hockey;Bronze
49014;M;24;177;72;FRG;1988;Biathlon;Silver
49017;M;18;177;57;GER;2002;Ski Jumping;Gold
49094;M;24;175;62;ITA;2014;Biathlon;Bronze
49122;M;28;180;91;SUI;2006;Alpine Skiing;Bronze
49123;M;26;187;80;GDR;1988;Speed Skating;Gold
49130;M;23;170;62;AUT;1998;Cross Country Skiing;Bronze
49130;M;27;170;62;AUT;2002;Cross Country Skiing;Gold
49142;M;24;178;73;GDR;1980;Figure Skating;Silver
49145;M;20;192;98;GDR;1984;Luge;Bronze
49145;M;24;192;98;GDR;1988;Luge;Gold
49178;F;25;182;78;GER;2010;Alpine Skiing;Gold
49178;F;25;182;78;GER;2010;Alpine Skiing;Gold
49178;F;29;182;78;GER;2014;Alpine Skiing;Silver
49178;F;29;182;78;GER;2014;Alpine Skiing;Gold
49200;M;27;170;70;SUI;1968;Bobsleigh;Bronze
49237;M;24;184;78;SWE;1968;Speed Skating;Gold
49259;M;22;173;64;GER;2002;Nordic Combined;Silver
49304;M;29;178;104;USA;2010;Bobsleigh;Gold
49304;M;33;178;104;USA;2014;Bobsleigh;Bronze
49304;M;33;178;104;USA;2014;Bobsleigh;Bronze
49333;M;27;181;78;TCH;1972;Ice Hockey;Bronze
49333;M;31;181;78;TCH;1976;Ice Hockey;Silver
49350;M;29;182;79;TCH;1972;Ice Hockey;Bronze
49351;M;19;178;85;TCH;1964;Ice Hockey;Bronze
49351;M;23;178;85;TCH;1968;Ice Hockey;Silver
49351;M;27;178;85;TCH;1972;Ice Hockey;Bronze
49351;M;31;178;85;TCH;1976;Ice Hockey;Silver
49403;F;25;167;58;CAN;2006;Skeleton;Bronze
49422;M;17;182;65;AUT;1992;Ski Jumping;Silver
49422;M;17;182;65;AUT;1992;Ski Jumping;Silver
49422;M;17;182;65;AUT;1992;Ski Jumping;Silver
49422;M;23;182;65;AUT;1998;Ski Jumping;Bronze
49431;F;25;169;65;DEN;1998;Curling;Silver
49512;M;26;177;75;SWE;1980;Ice Hockey;Bronze
49515;F;26;183;76;SWE;2014;Freestyle Skiing;Bronze
49532;M;33;183;95;SWE;2006;Ice Hockey;Gold
49564;F;22;179;82;SWE;2002;Ice Hockey;Bronze
49564;F;26;179;82;SWE;2006;Ice Hockey;Silver
49613;F;16;167;56;USA;1968;Speed Skating;Silver
49613;F;16;167;56;USA;1968;Speed Skating;Bronze
49613;F;20;167;56;USA;1972;Speed Skating;Gold
